"watershed","area_sq_km","Presence","Rearing","Spawning","species"
"Bear",99.9884154928978,18.7026437813761,16.0118628427241,13.7072113655728,"coho"
"Naselle",445.121426351009,66.6836513765974,93.8366436207811,132.110946209621,"coho"
"Nemah",146.109845035715,41.0349584364387,35.2778612864166,73.1796147495459,"coho"
"North_Smith",926.43597764075,223.283709012198,207.735883850076,338.7408527445,"coho"
"Palix",154.424805738908,149.825752226764,15.5498247635712,14.2501014173932,"coho"
"Willapa",650.805777052946,228.852836549335,150.437216736536,288.511870511633,"coho"
"Bear",99.9884154928978,15.5675523410396,3.24530985856179,11.9824993137601,"chum"
"Naselle",445.121426351009,60.467553237292,19.803129695361,72.4580324048987,"chum"
"Nemah",146.109845035715,16.439091775346,24.2292281530393,21.5128508603428,"chum"
"North_Smith",926.43597764075,36.6609504035301,125.994843446894,22.7735275109395,"chum"
"Palix",154.424805738908,1.12212796958047,2.20517025730358,4.28912835530701,"chum"
"Willapa",650.805777052946,76.307743912276,75.3737680264586,23.3400467229183,"chum"
"Bear",99.9884154928978,4.64461368190719,4.52731587676373,7.51050423118293,"chinook"
"Naselle",445.121426351009,14.6828125685922,33.679001512447,81.8998262131012,"chinook"
"Nemah",146.109845035715,0.0945126038408916,35.7211251812372,24.9994693600837,"chinook"
"North_Smith",926.43597764075,45.3343586708469,187.036961405085,46.246684606009,"chinook"
"Palix",154.424805738908,2.25659949957356,8.57082141149598,5.56732147804789,"chinook"
"Willapa",650.805777052946,40.4070835397904,34.7851495722052,95.5819074418922,"chinook"
